_seed1_s4-12-1_a4-2
2021-10-05_17-09-13	0	to save:  19, pool size = 100, survivor count = 20, games per cycle = 20, mutation rate = 0.5, mutation degree = 0.25
2021-10-05_17-51-27	108	duration:26.074896	[18,17,17,15,15,15,14,14,13,13,13,13,13,12,12,12,12,12,12,12]
2021-10-05_17-51-53	109	duration:26.018969	[15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-52-21	110	duration:28.510963	[16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13]
2021-10-05_17-52-48	111	duration:26.611903	[16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13]
2021-10-05_17-53-14	112	duration:25.881065	[17,16,16,16,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13]
2021-10-05_17-53-39	113	duration:25.813799	[16,16,16,16,15,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-54-05	114	duration:25.899955	[16,16,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12]
2021-10-05_17-54-34	115	duration:28.688963	[16,16,16,15,15,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12]
2021-10-05_17-55-01	116	duration:26.688188	[16,16,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13]
2021-10-05_17-55-29	117	duration:28.323888	[16,16,16,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13]
2021-10-05_17-55-54	118	duration:25.263791	[16,16,16,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,12]
2021-10-05_17-56-22	119	duration:27.920561	[15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12]
2021-10-05_17-56-48	120	duration:25.361844	[16,15,15,15,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-57-14	121	duration:26.733031	[15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12]
2021-10-05_17-57-42	122	duration:27.762693	[17,16,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12]
2021-10-05_17-58-09	123	duration:27.34564	[17,16,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13]
2021-10-05_17-58-36	124	duration:26.043559	[16,16,16,15,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12]
2021-10-05_17-59-04	125	duration:28.748131	[16,16,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12]
2021-10-05_17-59-30	126	duration:25.9288	[17,16,15,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,12,12]
2021-10-05_17-59-56	127	duration:25.904988	[16,16,16,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13,12,12]
2021-10-05_18-00-22	128	duration:25.989997	[16,16,16,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13]
2021-10-05_18-00-51	129	duration:28.661935	[16,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,12]
